word,pos,exam_tag,exam_category,difficulty,frequency_rank
govern,verb,GENERAL,GENERAL,3,181
grab,verb,GENERAL,GENERAL,3,182
graduate,verb,GENERAL,GENERAL,3,183
grasp,verb,GENERAL,GENERAL,3,184
greet,verb,GENERAL,GENERAL,3,185
grow,verb,GENERAL,GENERAL,3,186
guess,verb,GENERAL,GENERAL,3,187
guide,verb,GENERAL,GENERAL,3,188
hand,verb,GENERAL,GENERAL,3,189
handle,verb,GENERAL,GENERAL,3,190
hang,verb,GENERAL,GENERAL,3,191
happen,verb,GENERAL,GENERAL,3,192
harm,verb,GENERAL,GENERAL,3,193
hate,verb,GENERAL,GENERAL,3,194
head,verb,GENERAL,GENERAL,3,195
heal,verb,GENERAL,GENERAL,3,196
hear,verb,GENERAL,GENERAL,3,197
help,verb,GENERAL,GENERAL,3,198
hide,verb,GENERAL,GENERAL,3,199
hit,verb,GENERAL,GENERAL,3,200
hold,verb,GENERAL,GENERAL,3,201
hop,verb,GENERAL,GENERAL,3,202
hope,verb,GENERAL,GENERAL,3,203
hug,verb,GENERAL,GENERAL,3,204
hum,verb,GENERAL,GENERAL,3,205
hunt,verb,GENERAL,GENERAL,3,206
hurry,verb,GENERAL,GENERAL,3,207
hurt,verb,GENERAL,GENERAL,3,208
identify,verb,GENERAL,GENERAL,3,209
ignore,verb,GENERAL,GENERAL,3,210
imagine,verb,GENERAL,GENERAL,3,211
imply,verb,GENERAL,GENERAL,3,212
impress,verb,GENERAL,GENERAL,3,213
improve,verb,GENERAL,GENERAL,3,214
include,verb,GENERAL,GENERAL,3,215
increase,verb,GENERAL,GENERAL,3,216
indicate,verb,GENERAL,GENERAL,3,217
influence,verb,GENERAL,GENERAL,3,218
inform,verb,GENERAL,GENERAL,3,219
inject,verb,GENERAL,GENERAL,3,220
injure,verb,GENERAL,GENERAL,3,221
insist,verb,GENERAL,GENERAL,3,222
inspect,verb,GENERAL,GENERAL,3,223
inspire,verb,GENERAL,GENERAL,3,224
install,verb,GENERAL,GENERAL,3,225
intend,verb,GENERAL,GENERAL,3,226
introduce,verb,GENERAL,GENERAL,3,227
invent,verb,GENERAL,GENERAL,3,228
invite,verb,GENERAL,GENERAL,3,229
irritate,verb,GENERAL,GENERAL,3,230
itch,verb,GENERAL,GENERAL,3,231
jail,verb,GENERAL,GENERAL,3,232
jam,verb,GENERAL,GENERAL,3,233
jog,verb,GENERAL,GENERAL,3,234
join,verb,GENERAL,GENERAL,3,235
joke,verb,GENERAL,GENERAL,3,236
judge,verb,GENERAL,GENERAL,3,237
jump,verb,GENERAL,GENERAL,3,238
keep,verb,GENERAL,GENERAL,3,239
kick,verb,GENERAL,GENERAL,3,240
kill,verb,GENERAL,GENERAL,3,241
kiss,verb,GENERAL,GENERAL,3,242
kneel,verb,GENERAL,GENERAL,3,243
knit,verb,GENERAL,GENERAL,3,244
knock,verb,GENERAL,GENERAL,3,245
knot,verb,GENERAL,GENERAL,3,246
know,verb,GENERAL,GENERAL,3,247
label,verb,GENERAL,GENERAL,3,248
lack,verb,GENERAL,GENERAL,3,249
land,verb,GENERAL,GENERAL,3,250
