Rank,Verb
1,accept
2,achieve
3,add
4,admire
5,admit
6,adopt
7,advise
8,agree
9,allow
10,announce
11,appreciate
12,approve
13,argue
14,arise
15,arrive
16,ask
17,assume
18,assure
19,attach
20,attend
21,attract
22,avoid
23,awake
24,bake
25,balance
26,ban
27,bang
28,bare
29,base
30,be
31,bear
32,beat
33,become
34,beg
35,begin
36,behave
37,believe
38,belong
39,bend
40,bet
41,bind
42,bite
43,bleed
44,blow
45,boil
46,borrow
47,bounce
48,bow
49,break
50,breed
51,bring
52,broadcast
53,build
54,burn
55,burst
56,buy
57,calculate
58,call
59,camp
60,care
61,carry
62,catch
63,cause
64,challenge
65,change
66,charge
67,chase
68,cheat
69,check
70,cheer
71,chew
72,choose
73,chop
74,claim
75,clap
76,clean
77,clear
78,climb
79,close
80,collect
81,color
82,comb
83,come
84,compare
85,complain
86,complete
87,conclude
88,confirm
89,connect
90,consider
91,consist
92,contain
93,continue
94,cook
95,copy
96,correct
97,cost
98,count
99,cover
100,crash
101,crawl
102,create
103,cross
104,cry
105,cure
106,curl
107,cut
108,dance
109,dare
110,deal
111,decide
112,deliver
113,demand
114,deny
115,depend
116,describe
117,deserve
118,destroy
119,determine
120,develop
121,dictate
122,die
123,dig
124,disagree
125,discover
126,discuss
127,divide
128,do
129,draw
130,dream
131,dress
132,drink
133,drive
134,drop
135,dry
136,earn
137,eat
138,educate
139,elect
140,encourage
141,end
142,enjoy
143,enter
144,establish
145,estimate
146,evaluate
147,examine
148,exist
149,expect
150,explain
151,explode
152,express
153,extend
154,face
155,fail
156,fall
157,fasten
158,feed
159,feel
160,fight
161,fill
162,find
163,finish
164,fit
165,fix
166,fly
167,fold
168,follow
169,forbid
170,force
171,forget
172,forgive
173,freeze
174,fry
175,gather
176,get
177,give
178,glow
179,glue
180,go
181,govern
182,grab
183,graduate
184,grasp
185,greet
186,grow
187,guess
188,guide
189,hand
190,handle
191,hang
192,happen
193,harm
194,hate
195,head
196,heal
197,hear
198,help
199,hide
200,hit
201,hold
202,hop
203,hope
204,hug
205,hum
206,hunt
207,hurry
208,hurt
209,identify
210,ignore
211,imagine
212,imply
213,impress
214,improve
215,include
216,increase
217,indicate
218,influence
219,inform
220,inject
221,injure
222,insist
223,inspect
224,inspire
225,install
226,intend
227,introduce
228,invent
229,invite
230,irritate
231,itch
232,jail
233,jam
234,jog
235,join
236,joke
237,judge
238,jump
239,keep
240,kick
241,kill
242,kiss
243,kneel
244,knit
245,knock
246,knot
247,know
248,label
249,lack
250,land
251,last
252,laugh
253,lay
254,lead
255,leak
256,lean
257,learn
258,leave
259,lecture
260,lend
261,let
262,level
263,license
264,lick
265,lie
266,lift
267,light
268,like
269,list
270,listen
271,live
272,load
273,lock
274,log
275,look
276,loose
277,lose
278,love
279,machine
280,magnify
281,maintain
282,make
283,manage
284,march
285,mark
286,marry
287,match
288,matter
289,mean
290,measure
291,meet
292,melt
293,memorize
294,mend
295,mess
296,milk
297,mind
298,mine
299,miss
300,mix
301,moan
302,moor
303,mourn
304,move
305,multiply
306,murder
307,nail
308,name
309,need
310,nest
311,nod
312,note
313,notice
314,number
315,obey
316,object
317,observe
318,obtain
319,occur
320,offend
321,offer
322,open
323,operate
324,order
325,organize
326,pack
327,pad
328,paint
329,park
330,part
331,pass
332,paste
333,pat
334,pause
335,pay
336,peck
337,pedal
338,peel
339,peep
340,perform
341,permit
342,phone
343,pick
344,pinch
345,pine
346,place
347,plan
348,plant
349,play
350,plead
351,please
352,pledge
353,plow
354,plug
355,point
356,poke
357,polish
358,pop
359,possess
360,post
361,pour
362,practice
363,pray
364,preach
365,precede
366,prefer
367,prepare
368,present
369,preserve
370,press
371,pretend
372,prevent
373,prick
374,print
375,process
376,produce
377,program
378,promise
379,protect
380,provide
381,pull
382,pump
383,punch
384,puncture
385,punish
386,push
387,put
388,question
389,queue
390,race
391,radiate
392,rain
393,raise
394,reach
395,realize
396,receive
397,recognize
398,recommend
399,record
400,reduce
401,reflect
402,refuse
403,regret
404,relax
405,release
406,rely
407,remain
408,remember
409,remind
410,remove
411,repair
412,repeat
413,replace
414,reply
415,report
416,reproduce
417,request
418,rescue
419,retire
420,return
421,rhyme
422,rid
423,ride
424,ring
425,rinse
426,rise
427,risk
428,rob
429,rock
430,roll
431,rot
432,rub
433,ruin
434,rule
435,run
436,rush
437,sack
438,sail
439,satisfy
440,save
441,saw
442,say
443,scare
444,scatter
445,scold
446,scorch
447,scrape
448,scratch
449,scream
450,screw
451,scrub
452,seal
453,search
454,see
455,set
456,settle
457,shade
458,shake
459,shape
460,share
461,shave
462,shear
463,shed
464,shelter
465,shiver
466,shock
467,shoe
468,shoot
469,shop
470,show
471,shrink
472,shrug
473,shut
474,sigh
475,sign
476,signal
477,sin
478,sing
479,sink
480,sip
481,sit
482,sketch
483,skip
484,slap
485,sleep
486,slide
487,slip
488,slit
489,slow
490,smash
491,smell
492,smile
493,smoke
494,snatch
495,sneeze
496,sniff
497,snore
498,snow
499,soak
500,soothe
501,sound
502,sow
503,spare
504,spark
505,sparkle
506,speak
507,spell
508,spill
509,spin
510,spoil
511,spot
512,spray
513,spring
514,sprout
515,squash
516,squeak
517,squeal
518,squeeze
519,stain
520,stamp
521,stand
522,stare
523,start
524,stay
525,steer
526,step
527,stick
528,stimulate
529,stitch
530,stop
531,store
532,strap
533,stream
534,stretch
535,strip
536,stroke
537,structure
538,struggle
539,study
540,stuff
541,stumble
542,subtract
543,succeed
544,suck
545,suffer
546,suggest
547,suit
548,supply
549,support
550,suppose
551,surprise
552,surround
553,suspect
554,suspend
555,swallow
556,swear
557,sweat
558,sweep
559,swell
560,swim
561,swing
562,take
563,talk
564,tame
565,tap
566,taste
567,teach
568,tear
569,tease
570,tell
571,tempt
572,terrify
573,test
574,thank
575,thaw
576,think
